Country_of_Origin,AVG_Aroma,AVG_Flavor,AVG_Aftertaste,AVG_Acidity,AVG_Body,AVG_Balance,AVG_Uniformity,AVG_Clean.Cup,AVG_Sweetness,AVG_Moisture,AVG_Quakers,AVG_Category.One.Defects,AVG_Category.Two.Defects,id,Rec_Cnt
Haiti,3.5766666666666667,3.499166666666667,3.5558333333333336,3.563333333333333,7.276666666666666,3.528333333333334,9.776666666666666,8.555,4.555833333333333,0.11,0.0,1.5,3.5,HTI,44.0
Honduras,3.6462264150943393,3.617075471698113,3.530754716981132,3.6167924528301887,7.239245283018868,3.581981132075472,9.647735849056604,9.635283018867923,4.830188679245283,0.1077358490566037,0.1886792452830188,0.0566037735849056,3.5660377358490565,HND,87.0
India,3.8489285714285715,3.809285714285714,3.783214285714286,3.818214285714286,7.661428571428572,3.8364285714285713,9.904285714285717,9.952142857142858,3.8096428571428573,0.0378571428571428,0.5,1.4285714285714286,0.3571428571428571,IND,87.0
Indonesia,3.8244999999999996,3.7865,3.70775,3.7455,7.6315,3.76,9.933,9.9665,4.98325,0.0985,0.05,0.3,4.2,IDN,87.0
Kenya,3.8933999999999993,3.8912,3.8566,3.933,7.7264,3.9002,9.9732,9.9732,4.9866,0.08,0.24,0.04,2.52,KEN,87.0
Laos,3.7516666666666665,3.75,3.64,3.6533333333333338,7.363333333333333,3.7083333333333335,10.0,10.0,5.0,0.0833333333333333,0.0,0.0,0.0,LAO,20.0
Malawi,3.7836363636363632,3.693636363636364,3.6286363636363634,3.7040909090909087,7.338181818181818,3.685909090909091,10.0,10.0,5.0,0.1245454545454545,0.0,0.0,1.3636363636363635,MWI,44.0
Mauritius,3.625,3.625,3.585,3.585,7.25,3.585,10.0,10.0,5.0,0.12,0.0,0.0,0.0,MUS,16.0
Mexico,3.728792372881356,3.6895127118644067,3.6140254237288136,3.714173728813559,7.380466101694915,3.6643432203389823,9.74406779661017,9.65813559322034,4.985889830508475,0.1136016949152542,0.0381355932203389,0.8432203389830508,6.779661016949152,MEX,44.0
Myanmar,3.651875,3.66625,3.5625,3.703125,7.27,3.566875,10.0,10.0,5.0,0.01375,0.0,0.125,5.75,MMR,87.0
Nicaragua,3.664615384615385,3.6584615384615384,3.6009615384615383,3.6332692307692307,7.40076923076923,3.639230769230769,9.794615384615383,9.76923076923077,4.910192307692308,0.1076923076923076,0.3076923076923077,0.2692307692307692,2.769230769230769,NIC,51.0
Panama,3.83375,3.8125,3.8025,3.8525,7.5825,3.9375,10.0,10.0,5.0,0.07,0.25,0.75,2.5,PAN,236.0
Papua New Guinea,4.165,4.21,3.915,4.165,8.0,4.125,9.33,9.33,5.0,0.12,0.0,0.0,1.0,PNG,87.0
Peru,3.8465,3.8289999999999993,3.7704999999999993,3.8495,7.802,3.8329999999999993,9.533,9.466,4.933,0.066,0.1,1.3,3.7,PER,44.0
Philippines,3.682,3.6159999999999997,3.651,3.633,7.298,3.7,9.866,10.0,4.933,0.074,0.0,0.0,2.0,PHL,132.0
Rwanda,3.915,3.96,3.875,3.915,7.75,3.875,9.33,9.33,4.665,0.11,0.0,0.0,0.0,RWA,44.0
Taiwan,3.7668,3.7318,3.6977333333333333,3.707733333333333,7.45,3.7130000000000005,9.893066666666668,9.982133333333334,4.9822,0.0810666666666666,0.0666666666666666,0.4533333333333333,0.3333333333333333,TWN,36.0
Tanzania,3.7856250000000005,3.714875,3.7125,3.75,7.479000000000001,3.734875,10.0,10.0,5.0,0.119,0.0,0.025,4.025,TZA,53.0
Thailand,3.74203125,3.7640625,3.73671875,3.79859375,7.5521875,3.76203125,9.9375,9.9584375,4.9790625,0.0909375,0.0,0.0625,0.5,THA,75.0
Uganda,3.942083333333333,3.876388888888889,3.81125,3.8543055555555554,7.720000000000001,3.83125,10.0,10.0,4.681666666666666,0.1136111111111111,0.1388888888888889,0.3888888888888889,3.583333333333333,UGA,26.0
United States,3.8029885057471264,3.811264367816092,3.7708045977011495,3.8258045977011497,7.652413793103448,3.8320689655172413,9.501379310344827,9.60896551724138,4.8216091954023,0.050919540229885,0.0,1.160919540229885,3.160919540229885,USA,40.0
Vietnam,3.693125,3.6875,3.59875,3.68125,7.5425,3.72875,9.66625,9.91625,4.791875,0.0675,0.0,9.25,3.75,VNM,132.0
Zambia,3.835,3.54,3.71,3.665,7.75,3.71,10.0,10.0,5.0,0.0,0.0,1.0,3.0,ZMB,51.0
