REC_ID,Species,Continent.of.Origin,Country.of.Origin,Harvest.Year,Expiration,Variety,Color,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Quakers,Category.One.Defects,Category.Two.Defects,id
712,Arabica,South America,Brazil,2015.0,10/07/16,Bourbon,Green,Natural / Dry,8.25,7.83,7.25,8.33,8.17,8.08,10.0,6.67,10.0,0.07,0,0,0,BRA
713,Arabica,South America,Brazil,2015.0,04/19/16,Mundo Novo,Green,Natural / Dry,7.42,7.5,7.5,7.42,7.5,7.58,10.0,10.0,10.0,0.11,0,0,10,BRA
714,Arabica,North America,Guatemala,2015.0,03/09/16,Bourbon,Green,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10.0,10.0,10.0,0.1,0,0,6,GTM
715,Arabica,Africa,Malawi,2014.0,11/04/15,Gesha,Green,Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10.0,10.0,10.0,0.12,0,0,0,MWI
716,Arabica,South America,Brazil,2014.0,10/15/15,Bourbon,Blue-Green,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8.0,10.0,10.0,6.67,0.11,0,0,0,BRA
717,Arabica,North America,Guatemala,2014.0,06/10/15,Pacas,Green,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10.0,10.0,0.12,0,0,3,GTM
718,Arabica,North America,Mexico,2014.0,04/02/15,,Green,Washed / Wet,7.33,7.58,7.42,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0,MEX
719,Arabica,South America,Colombia,2013.0,01/21/15,Caturra,Green,Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10.0,10.0,10.0,0.1,0,0,2,COL
720,Arabica,Asia,Taiwan,2013.0,12/26/14,Typica,Green,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0,TWN
721,Arabica,Asia,Taiwan,2013.0,12/26/14,Typica,Green,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0,TWN
722,Arabica,North America,Guatemala,2013.0,07/16/14,Bourbon,Green,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10.0,10.0,10.0,0.12,0,2,1,GTM
723,Arabica,South America,Colombia,2013.0,06/21/14,Caturra,Green,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10.0,10.0,10.0,0.0,0,0,1,COL
724,Arabica,North America,Mexico,2013.0,03/15/14,Typica,Green,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10.0,10.0,10.0,0.12,0,0,3,MEX
725,Arabica,North America,Costa Rica,2012.0,10/09/13,,Green,Washed / Wet,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10.0,0.0,0,0,14,CRI
726,Arabica,North America,Guatemala,2012.0,10/05/13,Bourbon,Green,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,0.11,0,0,3,GTM
727,Arabica,North America,Mexico,2012.0,09/27/13,Typica,,Natural / Dry,7.58,7.67,7.58,7.33,7.0,7.58,10.0,10.0,10.0,0.15,0,1,8,MEX
728,Arabica,North America,Mexico,2012.0,08/31/13,Bourbon,Green,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,0.13,0,0,9,MEX
729,Arabica,North America,Guatemala,2012.0,05/23/13,Bourbon,Green,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10.0,10.0,10.0,0.1,0,2,5,GTM
730,Arabica,South America,Brazil,2012.0,04/11/13,Mundo Novo,Green,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,0.12,0,0,2,BRA
731,Arabica,North America,Mexico,2012.0,03/05/13,Typica,Green,Washed / Wet,8.0,7.75,7.33,7.33,7.08,7.67,9.33,10.0,10.0,0.11,0,0,0,MEX
732,Arabica,South America,Brazil,2012.0,02/16/13,Mundo Novo,Green,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10.0,10.0,10.0,0.11,0,0,2,BRA
733,Arabica,South America,Colombia,2012.0,01/30/13,Caturra,Green,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10.0,10.0,10.0,0.0,0,0,0,COL
734,Arabica,South America,Brazil,,11/15/18,Catuai,Green,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10.0,10.0,10.0,0.09,6,2,10,BRA
735,Arabica,Asia,Taiwan,2016.0,02/13/18,,Blue-Green,,7.0,7.08,7.0,7.17,7.0,7.0,10.0,10.0,10.0,0.1,0,0,0,TWN
736,Arabica,North America,Guatemala,2016.0,08/31/17,Pacas,Green,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10.0,10.0,10.0,0.11,2,0,2,GTM
737,Arabica,South America,Brazil,2015.0,10/07/16,Yellow Bourbon,Green,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10.0,10.0,10.0,0.0,0,0,9,BRA
738,Arabica,North America,El Salvador,2014.0,07/07/16,Bourbon,Green,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,0.12,0,0,0,SLV
739,Arabica,North America,Honduras,2015.0,04/14/16,Catuai,Green,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,0.11,0,0,2,HND
740,Arabica,Africa,Malawi,2014.0,11/04/15,Gesha,Blue-Green,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10.0,10.0,10.0,0.13,0,0,0,MWI
741,Arabica,South America,Brazil,2014.0,10/16/15,Bourbon,Green,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10.0,10.0,10.0,0.11,0,0,0,BRA
742,Arabica,Asia,Taiwan,2013.0,12/26/14,Typica,Green,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0,TWN
743,Arabica,North America,Mexico,2013.0,07/19/14,Mundo Novo,Blue-Green,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10.0,10.0,10.0,0.12,0,0,4,MEX
744,Arabica,North America,United States,2013.0,05/03/14,Hawaiian Kona,Bluish-Green,Natural / Dry,7.33,7.42,7.5,7.67,7.5,7.42,10.0,10.0,10.0,0.0,0,0,1,USA
745,Arabica,North America,Mexico,2012.0,09/27/13,Bourbon,,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10.0,10.0,10.0,0.16,0,3,8,MEX
746,Arabica,North America,Guatemala,2012.0,09/19/13,Bourbon,Green,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10.0,10.0,10.0,0.11,0,0,2,GTM
747,Arabica,North America,Mexico,2012.0,08/31/13,Bourbon,Green,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10.0,10.0,10.0,0.13,0,0,3,MEX
748,Arabica,North America,Mexico,2012.0,08/30/13,Typica,Green,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,0.12,0,0,13,MEX
749,Arabica,North America,El Salvador,2012.0,08/21/13,Other,Green,Washed / Wet,7.75,7.33,7.33,7.5,7.5,7.5,10.0,10.0,10.0,0.0,0,2,5,SLV
750,Arabica,North America,Mexico,2012.0,07/11/13,Typica,Green,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10.0,10.0,10.0,0.11,0,0,0,MEX
751,Arabica,North America,Mexico,2012.0,04/02/13,Typica,Green,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,0.1,0,0,3,MEX
752,Arabica,South America,Colombia,2012.0,02/21/13,Caturra,Green,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,10.0,0.12,0,0,1,COL
753,Arabica,South America,Colombia,2012.0,02/08/13,Caturra,Green,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0,COL
754,Arabica,South America,Brazil,2012.0,01/22/13,Arusha,Green,Natural / Dry,7.67,7.58,7.42,7.0,7.5,7.58,10.0,10.0,10.0,0.12,0,0,1,BRA
755,Arabica,South America,Colombia,,02/29/12,,,,7.17,7.25,7.58,7.25,7.58,7.67,10.0,10.0,10.0,0.22,0,0,2,COL
756,Arabica,South America,Brazil,2016.0,08/16/17,Bourbon,Green,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10.0,10.0,10.0,0.11,1,0,5,BRA
757,Arabica,North America,Honduras,2015.0,06/09/17,Caturra,Bluish-Green,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10.0,10.0,10.0,0.11,1,0,2,HND
758,Arabica,North America,Nicaragua,,03/15/17,,Green,,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,0.1,0,0,1,NIC
759,Arabica,Africa,Tanzania,2015.0,11/15/16,Bourbon,Green,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,0.13,0,1,6,TZA
760,Arabica,Africa,Tanzania,2015.0,10/19/16,Other,Green,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10.0,10.0,10.0,0.12,0,0,1,TZA
761,Arabica,South America,Brazil,2015.0,10/07/16,Yellow Bourbon,Green,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10.0,10.0,10.0,0.0,0,0,1,BRA
762,Arabica,Asia,Thailand,2014.0,06/08/16,,Bluish-Green,Washed / Wet,7.42,7.42,7.17,7.75,7.25,7.67,10.0,10.0,10.0,0.12,0,0,0,THA
763,Arabica,North America,Honduras,2015.0,04/14/16,Catuai,Green,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10.0,10.0,10.0,0.11,0,0,2,HND
764,Arabica,North America,Guatemala,2014.0,03/20/16,Bourbon,Blue-Green,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10.0,10.0,10.0,0.09,0,0,4,GTM
765,Arabica,South America,Brazil,2014.0,01/15/16,Mundo Novo,Green,Natural / Dry,7.58,7.5,7.42,7.25,7.5,7.42,10.0,10.0,10.0,0.12,0,0,1,BRA
766,Arabica,Africa,Tanzania,2014.0,12/15/15,Other,Green,Washed / Wet,7.75,7.42,7.42,7.58,7.33,7.42,10.0,10.0,10.0,0.12,0,0,1,TZA
767,Arabica,North America,Mexico,2013.0,07/15/15,Other,Green,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10.0,10.0,10.0,0.12,0,0,0,MEX
768,Arabica,North America,Mexico,2013.0,04/10/15,Other,,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,0.1,0,1,1,MEX
769,Arabica,Asia,Taiwan,2013.0,12/26/14,Typica,Green,Other,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0,TWN
770,Arabica,Asia,Taiwan,2012.0,05/29/14,Typica,Green,Washed / Wet,7.67,7.5,7.5,7.17,7.17,7.58,10.0,10.0,10.0,0.0,0,0,0,TWN
771,Arabica,South America,Colombia,2013.0,03/20/14,Caturra,Bluish-Green,Washed / Wet,7.33,7.25,7.25,7.58,7.75,7.5,10.0,10.0,10.0,0.0,0,0,1,COL
772,Arabica,North America,Mexico,2012.0,09/27/13,Typica,,Washed / Wet,7.5,7.67,7.0,7.5,7.33,7.5,10.0,10.0,10.0,0.15,0,1,9,MEX
773,Arabica,North America,Guatemala,2012.0,08/02/13,Caturra,,Washed / Wet,7.25,7.75,7.0,7.75,8.17,7.75,10.0,10.0,9.33,0.12,0,0,2,GTM
774,Arabica,North America,Mexico,2012.0,07/11/13,Typica,Green,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,10.0,0.12,0,0,4,MEX
775,Arabica,North America,Mexico,2012.0,07/02/13,Typica,Green,Washed / Wet,7.0,7.67,7.5,7.5,7.42,7.5,10.0,10.0,10.0,0.1,0,0,1,MEX
776,Arabica,South America,Colombia,2010.0,02/09/12,,,,7.58,7.67,7.42,7.17,7.17,7.75,10.0,10.0,10.0,0.08,0,0,0,COL
777,Arabica,Asia,Indonesia,2017.0,08/03/18,Bourbon,,Washed / Wet,7.5,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,0.15,0,0,3,IDN
778,Arabica,South America,Colombia,2016.0,02/20/18,Caturra,Green,Washed / Wet,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10.0,0.0,7,0,6,COL
779,Arabica,South America,Brazil,2016.0,08/16/17,Bourbon,Green,Natural / Dry,7.42,7.58,7.42,7.5,7.42,7.25,10.0,10.0,10.0,0.11,1,0,3,BRA
780,Arabica,South America,Brazil,2015.0,10/07/16,Yellow Bourbon,Green,Natural / Dry,7.25,7.25,7.58,7.58,7.25,7.92,10.0,10.0,10.0,0.0,0,0,1,BRA
781,Arabica,North America,Costa Rica,2015.0,04/09/16,Caturra,Blue-Green,Washed / Wet,7.75,7.42,7.42,7.25,7.17,7.42,10.0,10.0,10.0,0.0,0,0,0,CRI
782,Arabica,Africa,Tanzania,2014.0,03/24/16,Bourbon,Green,Washed / Wet,7.42,7.33,7.42,7.42,7.5,7.58,10.0,10.0,10.0,0.12,0,0,5,TZA
783,Arabica,Africa,Tanzania,2014.0,01/08/16,Other,Green,Washed / Wet,7.42,7.5,7.5,7.33,7.33,7.5,10.0,10.0,10.0,0.12,0,0,3,TZA
784,Arabica,South America,Colombia,2013.0,09/12/15,,Green,Washed / Wet,7.5,7.42,7.42,7.42,7.67,7.42,10.0,10.0,10.0,0.11,0,1,0,COL
785,Arabica,North America,Costa Rica,2013.0,03/21/15,Caturra,Green,Washed / Wet,7.58,7.33,7.33,7.33,7.5,7.67,10.0,10.0,10.0,0.11,0,0,2,CRI
786,Arabica,North America,United States,2012.0,11/26/13,Hawaiian Kona,Bluish-Green,Natural / Dry,7.25,7.58,7.58,7.25,7.5,7.42,10.0,10.0,10.0,0.11,0,0,0,USA
