Country,Year_x,id,Exports,Year_y,Imports
Syria,2016.0,SYR,1312130.0,2016.0,210.0
Taiwan,2016.0,TWN,211291511.0,2016.0,4820317.0
Tanzania,2016.0,TZA,758590.0,0.0,0.0
Thailand,2016.0,THA,65679065.0,2016.0,42641.0
Togo,2016.0,TGO,2173778.0,0.0,0.0
Trinidad and Tobago,2016.0,TTO,14933099.0,0.0,0.0
Tunisia,2016.0,TUN,3185424.0,2016.0,260.0
Turkey,2016.0,TUR,86499693.0,2016.0,493084.0
Uganda,2016.0,UGA,230.0,0.0,0.0
Ukraine,2016.0,UKR,32.0,2016.0,750.0
United Arab Emirates,2016.0,ARE,55448060.0,2016.0,143906.0
United Kingdom,2016.0,GBR,250027007.0,2016.0,3074261.0
United States,2016.0,USA,2202974593.0,2016.0,246727606.0
Uruguay,2016.0,URY,45271212.0,2016.0,8839430.0
Venezuela,2016.0,VEN,20311754.0,2016.0,98593.0
Vietnam,2016.0,VNM,64881277.0,2016.0,136405.0
Zambia,2016.0,ZMB,87.0,0.0,0.0
Zimbabwe,2016.0,ZWE,499907.0,2016.0,22.0
